title,author,book_url,date_pub,date_finished_parsed,date_started_parsed,num_pages,my_rating,review,shelves,progress_json
"A Deadly Education (The Scholomance, #1)","Novik, Naomi",https://www.goodreads.com/book/show/50548197-a-deadly-education,"Sep 29, 2020",2024-10-17,2024-09-30,320,4,"This book was funny, sarcastic and highly entertaining. El reminded me to the witches of Terry Pratchett’s Discworld. I can’t wait to keep reading the This book was funny, sarcastic and highly entertaining. El reminded me to the witches of Terry Pratchett’s Discworld. I can’t wait to keep reading the series. ...more",read,"[{""date"":""March 15, 2024"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""March 15, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""September 30, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""October 17, 2024"",""page"":null,""percent"":null,""event"":""finished""}]"
Abejas y truenos lejanos,"Onda, Riku",https://www.goodreads.com/book/show/141436531-abejas-y-truenos-lejanos,2016,2024-09-29,2024-08-25,448,5,"Me ha encantado leer este libro. Qué forma de describir la música más bella.Igual que el chico es un regalo que inspira a otros a tocar, el libro te i Me ha encantado leer este libro. Qué forma de describir la música más bella.Igual que el chico es un regalo que inspira a otros a tocar, el libro te inspira a escuchar música clásica de otra manera: a viajar a prados, playas, ciudades o recuerdos.Me ha emocionado esta historia en la que los personajes no compiten, sino que comparten y se ayudan a avanzar porque el arte inspira a todos. Muy bonito y recomendable ...more",read,"[{""date"":""August 25, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 25, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""September 14, 2024"",""page"":166,""percent"":37.05,""event"":null},{""date"":""September 15, 2024"",""page"":230,""percent"":51.34,""event"":null},{""date"":""September 22, 2024"",""page"":285,""percent"":63.62,""event"":null},{""date"":""September 29, 2024"",""page"":null,""percent"":null,""event"":""finished""}]"
A Little Life,"Yanagihara, Hanya",https://www.goodreads.com/book/show/22822858-a-little-life,"Mar 10, 2015",2024-08-24,2024-08-11,720,5,"I’m torn between giving it four or five stars. But the last chapter moved me so much that I ultimately give in. The book is beautifully written. It’s I’m torn between giving it four or five stars. But the last chapter moved me so much that I ultimately give in. The book is beautifully written. It’s delicate at the beginning, not providing much information about Jude’s story but giving enough details for you to guess the trauma hidden in his secrets. It’s a very heavy and challenging read. I had to stop reading at times because I could predict what was about to happen, and some of the descriptions were too intense. I feel like Hanya Yanagihara pushes Jude way too far. Some parts of his story are not needed for him to be fully traumatized and grow into the man he is later on.However, besides that, it’s a beautiful story of how friendship and love can heal people - but only if they want to be healed. ...more",read,"[{""date"":""September 4, 2023"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""September 4, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 11, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 14, 2024"",""page"":85,""percent"":11.81,""event"":null},{""date"":""August 15, 2024"",""page"":150,""percent"":20.83,""event"":null},{""date"":""August 17, 2024"",""page"":236,""percent"":32.78,""event"":null},{""date"":""August 20, 2024"",""page"":377,""percent"":52.36,""event"":null},{""date"":""August 22, 2024"",""page"":537,""percent"":74.58,""event"":null},{""date"":""August 24, 2024"",""page"":null,""percent"":null,""event"":""finished""}]"
"Almas (Bilogía Cuerpos y Almas, #2)","Casquet, Noemí",https://www.goodreads.com/book/show/59409252-almas,"Nov 04, 2021",2024-08-11,2024-07-25,352,2,NA,read,"[{""date"":""July 25, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""July 25, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""July 25, 2024"",""page"":55,""percent"":15.63,""event"":null},{""date"":""August 11, 2024"",""page"":null,""percent"":null,""event"":""finished""}]"
"Todo vuelve (Todo arde, #2; Universo reina roja, #7)","Gómez-Jurado, Juan",https://www.goodreads.com/book/show/181111705-todo-vuelve,"Oct 24, 2023",2024-07-25,2024-07-14,598,3,NA,read,"[{""date"":""July 14, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""July 14, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""July 25, 2024"",""page"":null,""percent"":null,""event"":""finished""}]"
Normal People,"Rooney, Sally",https://www.goodreads.com/book/show/41057294-normal-people,"Aug 28, 2018",2024-06-15,2024-06-02,273,4,"Vi la serie Normal People hace años y me encantó. Me daba miedo leer el libro y que esa experiencia cambiara como veo a los personajes, pero el libro Vi la serie Normal People hace años y me encantó. Me daba miedo leer el libro y que esa experiencia cambiara como veo a los personajes, pero el libro no defrauda. Las descripciones de Marianne y Connell son delicadas y al mismo tiempo llenas de significados. Qué bonito ver como dos personas se aman y cambian juntas, y en la distancia.No le pongo cinco estrellas porque la traducción tiene algunos errores. He leído a Sally Rooney en inglés y su prosa es increíble. En castellano sonaba algo forzada ...more",read,"[{""date"":""December 9, 2021"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""December 9, 2021"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""June 2, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""June 15, 2024"",""page"":null,""percent"":null,""event"":""finished""}]"
Quebrada,"Travacio, Mariana",https://www.goodreads.com/book/show/60424616-quebrada,"Feb 21, 2022",2024-05-27,2024-05-06,166,3,NA,read,"[{""date"":""September 3, 2023"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""September 3, 2023"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""May 6, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""May 19, 2024"",""page"":132,""percent"":79.52,""event"":null},{""date"":""May 27, 2024"",""page"":null,""percent"":null,""event"":""finished""}]"
Our Wives Under the Sea,"Armfield, Julia",https://www.goodreads.com/book/show/58659343-our-wives-under-the-sea,"Mar 03, 2022",2024-05-05,2024-04-17,240,4,"I really liked how the anguish and anxiety kept growing as the story developed. It’s interesting how both stories (Miri’s and Leah’s) can both feel re I really liked how the anguish and anxiety kept growing as the story developed. It’s interesting how both stories (Miri’s and Leah’s) can both feel really claustrophobic, even if they’re set in different settings (an ocean and a bathroom). ...more",read,"[{""date"":""June 18, 2022"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""June 18, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 17, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""April 30, 2024"",""page"":137,""percent"":57.08,""event"":null},{""date"":""May 4, 2024"",""page"":188,""percent"":78.33,""event"":null},{""date"":""May 5, 2024"",""page"":null,""percent"":null,""event"":""finished""}]"
Baumgartner,"Auster, Paul",https://www.goodreads.com/book/show/134899244-baumgartner,"Nov 07, 2023",2024-04-27,2024-03-24,208,4,"I’ve always loved Auster’s books. And this one is not different. I feel like Baumgartner talks about grieving -grieving the youth you had or the perso I’ve always loved Auster’s books. And this one is not different. I feel like Baumgartner talks about grieving -grieving the youth you had or the person you loved and is not with you anymore- along with keep on living and making peace with it all. It’s beautifully written, and has a funny sense of humor. As always with Auster, he plays with the lines between author and protagonist and what’s written as “the book” and what’s written as “fiction created by the characters”. ...more",read,"[{""date"":""January 21, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""January 21, 2024"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""March 24, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""April 27, 2024"",""page"":null,""percent"":null,""event"":""finished""}]"
Piranesi,"Clarke, Susanna",https://www.goodreads.com/book/show/50202953-piranesi,"Sep 15, 2020",2024-03-24,2024-03-04,272,4,"I was confused and lost at the beginning. I tried to keep up with the time reflected in the book with no much luck. But as I accepted the disorientati I was confused and lost at the beginning. I tried to keep up with the time reflected in the book with no much luck. But as I accepted the disorientation (the laberynth), I became more and more interested in the protagonist, in the general beauty of the House, and in the story itself. It’s beautifully written ...more",read,"[{""date"":""January 13, 2024"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""January 13, 2024"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""March 4, 2024"",""page"":null,""percent"":null,""event"":""started""},{""date"":""March 24, 2024"",""page"":null,""percent"":null,""event"":""finished""}]"
