title,author,book_url,date_pub,date_finished,date_started,num_pages,my_rating,review,shelves,progress_json,genres,language
Made in Spain: Cómo un país cambió mi forma de ver la vida,"Rhodes, James",https://www.goodreads.com/book/show/57400640-made-in-spain,"Apr 08, 2021","Aug 31, 2021",Aug 2021,320,4,NA,read,"[{""date"":""August 1, 2021"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 3, 2021"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 31, 2021"",""page"":null,""percent"":null,""event"":""finished""}]",Biography; Nonfiction,Spanish; Castilian
Fugas. O la ansiedad de sentirse vivo,"Rhodes, James",https://www.goodreads.com/book/show/36528667-fugas-o-la-ansiedad-de-sentirse-vivo,"Jan 11, 2018","Jul 30, 2021",Jul 2021,278,4,NA,read,"[{""date"":""July 1, 2021"",""page"":null,""percent"":null,""event"":""started""},{""date"":""July 4, 2021"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""July 30, 2021"",""page"":null,""percent"":null,""event"":""finished""}]",Nonfiction; Music; Biography; Memoir; Drama; British Literature; Autobiography; ...more,Spanish; Castilian
"Instrumental: A Memoir of Madness, Medication and Music","Rhodes, James",https://www.goodreads.com/book/show/21896497-instrumental,"May 28, 2015",Jul 2021,Jun 2021,304,4,NA,read,"[{""date"":null,""page"":null,""percent"":null,""event"":""started""},{""date"":null,""page"":null,""percent"":null,""event"":""finished""},{""date"":""July 2, 2021"",""page"":null,""percent"":null,""event"":""shelved""}]",Nonfiction; Music; Biography; Memoir; Mental Health; Psychology; Biography Memoir; ...more,English
Our Iceberg Is Melting: Changing and Succeeding Under Any Conditions,"Kotter, John P.",https://www.goodreads.com/book/show/36232506-our-iceberg-is-melting,2005,Apr 2021,Mar 2021,176,3,NA,read,"[{""date"":null,""page"":null,""percent"":null,""event"":""started""},{""date"":""March 25, 2021"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":null,""page"":null,""percent"":null,""event"":""finished""}]",Business; Nonfiction; Leadership; Management; Self Help; Professional Development; Personal Development; ...more,English
La ridícula idea de no volver a verte,"Montero, Rosa",https://www.goodreads.com/book/show/17567272-la-rid-cula-idea-de-no-volver-a-verte,2013,Apr 2021,"Feb 21, 2021",240,4,NA,read,"[{""date"":null,""page"":null,""percent"":null,""event"":""finished""},{""date"":""February 21, 2021"",""page"":null,""percent"":null,""event"":""started""},{""date"":null,""page"":null,""percent"":null,""event"":""finished""},{""date"":""December 9, 2021"",""page"":null,""percent"":null,""event"":""shelved""}]",Nonfiction; Biography; Spanish Literature; Audiobook; Feminism; Romance; Spain; ...more,Spanish; Castilian
El consentimiento,"Springora, Vanessa",https://www.goodreads.com/book/show/55151846-el-consentimiento,"Jan 02, 2020",Mar 2021,Feb 2021,200,5,NA,read,"[{""date"":""January 16, 2021"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":null,""page"":null,""percent"":null,""event"":""started""},{""date"":null,""page"":null,""percent"":null,""event"":""finished""}]",Nonfiction; Memoir; Feminism; France; Biography; Audiobook; Biography Memoir; ...more,Spanish; Castilian
Cicatriz,"Gómez-Jurado, Juan",https://www.goodreads.com/book/show/27420709-cicatriz,"Nov 18, 2015","Sep 16, 2020","Aug 28, 2020",576,3,NA,read,"[{""date"":""August 28, 2020"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 28, 2020"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""September 16, 2020"",""page"":null,""percent"":null,""event"":""finished""}]",Thriller; Audiobook; Fiction; Spanish Literature; Crime; Suspense; Mystery; ...more,Spanish; Castilian
"Generative Design: Visualize, Program, and Create with JavaScript in p5.js","Groß, Benedikt",https://www.goodreads.com/book/show/38743103-generative-design,unknown,Jun 2020,Jan 2020,255,5,NA,read; information-design,"[{""date"":null,""page"":null,""percent"":null,""event"":""finished""},{""date"":null,""page"":null,""percent"":null,""event"":""started""},{""date"":null,""page"":null,""percent"":null,""event"":""finished""},{""date"":""January 21, 2024"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""January 21, 2024"",""page"":null,""percent"":null,""event"":""shelved""}]",Design; Art; Computer Science; Coding; Programming,English
4 3 2 1,"Auster, Paul",https://www.goodreads.com/book/show/30244626-4-3-2-1,"Jan 31, 2017","May 24, 2020","Mar 24, 2020",866,5,NA,read; left-a-mark,"[{""date"":""May 15, 2017"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""May 15, 2017"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""March 24, 2020"",""page"":null,""percent"":null,""event"":""started""},{""date"":""May 24, 2020"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]",Fiction; Historical Fiction; Contemporary; Literary Fiction; Novels; American; Americana; ...more,English
Invisible Women: Exposing Data Bias in a World Designed for Men,"Criado Pérez, Caroline",https://www.goodreads.com/book/show/40957778-invisible-women,"Mar 07, 2019","Sep 22, 2019","Apr 27, 2019",432,5,NA,read; current-affairs-non-fiction; left-a-mark,"[{""date"":""April 27, 2019"",""page"":null,""percent"":null,""event"":""started""},{""date"":""April 27, 2019"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 27, 2019"",""page"":16,""percent"":3.7,""event"":null},{""date"":""September 22, 2019"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""January 27, 2024"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]",Nonfiction; Feminism; Science; Audiobook; Politics; Womens; Sociology; ...more,English
The Forgotten Garden,"Morton, Kate",https://www.goodreads.com/book/show/6723017-the-forgotten-garden,"Jul 01, 2008","May 28, 2017","May 21, 2017",552,3,NA,read,"[{""date"":""May 21, 2017"",""page"":null,""percent"":null,""event"":""started""},{""date"":""May 21, 2017"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""May 28, 2017"",""page"":null,""percent"":null,""event"":""finished""}]",Historical Fiction; Fiction; Mystery; Book Club; Historical; Romance; Australia; ...more,English
Be Frank With Me,"Johnson, Julia Claiborne",https://www.goodreads.com/book/show/25817528-be-frank-with-me,"Feb 02, 2016","May 21, 2017","May 15, 2017",287,3,NA,read,"[{""date"":""May 15, 2017"",""page"":null,""percent"":null,""event"":""started""},{""date"":""May 15, 2017"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""May 21, 2017"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; Audiobook; Book Club; Contemporary; Humor; Adult Fiction; Adult; ...more,English
Charity Girl,"Lowenthal, Michael",https://www.goodreads.com/book/show/126136.Charity_Girl,"Jan 03, 2007","Apr 18, 2017","Jan 11, 2017",323,3,NA,read,"[{""date"":""January 11, 2017"",""page"":null,""percent"":null,""event"":""started""},{""date"":""January 11, 2017"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 18, 2017"",""page"":null,""percent"":null,""event"":""finished""}]",Historical Fiction; Fiction; World War I; Historical; War; Book Club; Literary Fiction; ...more,English
The Nature and Art of Motion,"Kepes, Gyorgy",https://www.goodreads.com/book/show/15999235-the-nature-and-art-of-motion,"Jan 01, 1965","Apr 18, 2017","Jan 11, 2017",195,4,NA,read,"[{""date"":""January 11, 2017"",""page"":null,""percent"":null,""event"":""started""},{""date"":""January 11, 2017"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 18, 2017"",""page"":null,""percent"":null,""event"":""finished""}]",NA,NA
