title,author,book_url,date_pub,date_finished,date_started,num_pages,my_rating,review,shelves,progress_json,genres,language
"La madre de Frankenstein (Episodios de una guerra interminable, #5)","Grandes, Almudena",https://www.goodreads.com/book/show/22019282-la-madre-de-frankenstein,"Feb 04, 2020","Nov 15, 2022","Aug 15, 2022",560,5,NA,read,"[{""date"":""August 15, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""November 15, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""November 15, 2022"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; Historical Fiction; Spanish Literature; Historical; Drama; Spain; Audiobook; ...more,Spanish; Castilian
"Los muertos viajan deprisa (Valentina Negro y Javier Sanjuán, #4)","Abarca, Nieves",https://www.goodreads.com/book/show/28787190-los-muertos-viajan-deprisa,unknown,"Sep 23, 2022","Aug 18, 2022",448,3,NA,read,"[{""date"":""August 18, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""September 23, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""September 23, 2022"",""page"":null,""percent"":null,""event"":""finished""}]",NA,Spanish; Castilian
La señora March,"Feito, Virginia",https://www.goodreads.com/book/show/59551496-la-se-ora-march,"Aug 05, 2021","Aug 09, 2022",Aug 2022,328,3,NA,read,"[{""date"":""August 1, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""August 9, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""August 9, 2022"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; Thriller; Mystery; Historical Fiction; Audiobook; Mystery Thriller; Horror; ...more,Spanish; Castilian
Puerto escondido,"Oruña, María",https://www.goodreads.com/book/show/39805453-puerto-escondido,"Sep 08, 2015","Jul 31, 2022","Jul 28, 2022",430,3,NA,read,"[{""date"":""July 28, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""July 31, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""July 31, 2022"",""page"":null,""percent"":null,""event"":""finished""}]",Thriller; Mystery; Crime; Spanish Literature; Audiobook; Spain; Fiction; ...more,Spanish; Castilian
Como polvo en el viento,"Padura Fuentes, Leonardo",https://www.goodreads.com/book/show/54788896-como-polvo-en-el-viento,"Aug 25, 2020","Jul 25, 2022","Jun 29, 2022",672,5,NA,read; left-a-mark,"[{""date"":""June 29, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""July 25, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""July 25, 2022"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]",Fiction; Romance; Spanish Literature; Novels; Contemporary; Book Club; Historical Fiction; ...more,Spanish; Castilian
Cartas desde Dubai,"López, Asunta",https://www.goodreads.com/book/show/39787233-cartas-desde-dubai,unknown,"Jun 27, 2022","Jun 18, 2022",352,3,NA,read,"[{""date"":""June 18, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""June 27, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""June 27, 2022"",""page"":null,""percent"":null,""event"":""finished""}]",Book Club,Spanish; Castilian
El hijo del chófer,"Amat  i Fusté, Jordi",https://www.goodreads.com/book/show/61058142-el-hijo-del-ch-fer,2022,"Jun 18, 2022","Jun 12, 2022",256,5,NA,read,"[{""date"":""June 12, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""June 18, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""June 18, 2022"",""page"":null,""percent"":null,""event"":""finished""}]",Nonfiction; History; Biography,Spanish; Castilian
El bosque de los cuatro vientos,"Oruña, María",https://www.goodreads.com/book/show/51827486-el-bosque-de-los-cuatro-vientos,"Aug 25, 2020","Jun 11, 2022","Jun 05, 2022",416,3,NA,read,"[{""date"":""June 5, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""June 11, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""June 11, 2022"",""page"":null,""percent"":null,""event"":""finished""}]",Thriller; Historical Fiction; Fiction; Spain; Audiobook; Spanish Literature; Mystery; ...more,Spanish; Castilian
El reino,"Nesbø, Jo",https://www.goodreads.com/book/show/57685669-el-reino,"Aug 27, 2020","Apr 17, 2022",Apr 2022,624,3,NA,read,"[{""date"":""April 1, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""April 17, 2022"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""April 18, 2022"",""page"":null,""percent"":null,""event"":""shelved""}]",Thriller; Fiction; Crime; Mystery; Audiobook; Mystery Thriller; Nordic Noir; ...more,Spanish; Castilian
"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma","Kolk, Bessel van der",https://www.goodreads.com/book/show/18693771-the-body-keeps-the-score,"Jun 12, 2014","Apr 16, 2022","Dec 09, 2021",464,4,NA,read; left-a-mark,"[{""date"":""December 9, 2021"",""page"":null,""percent"":null,""event"":""started""},{""date"":""December 9, 2021"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""April 16, 2022"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""August 15, 2025"",""page"":null,""percent"":null,""event"":""shelved-as""}]",Nonfiction; Psychology; Self Help; Mental Health; Health; Science; Audiobook; ...more,English
"Witches Abroad (Discworld, #12; Witches, #3)","Pratchett, Terry",https://www.goodreads.com/book/show/2442.Witches_Abroad,1991,"Feb 22, 2022",Feb 2022,374,4,NA,read,"[{""date"":""February 1, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""February 22, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""February 22, 2022"",""page"":null,""percent"":null,""event"":""finished""}]",Fantasy; Fiction; Humor; Comedy; Audiobook; Witches; Science Fiction Fantasy; ...more,English
"Beautiful World, Where Are You","Rooney, Sally",https://www.goodreads.com/book/show/56597885-beautiful-world-where-are-you,"Sep 07, 2021","Jan 25, 2022","Jan 15, 2022",356,5,NA,read,"[{""date"":""December 9, 2021"",""page"":null,""percent"":null,""event"":""shelved-as""},{""date"":""December 9, 2021"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""January 15, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""January 25, 2022"",""page"":null,""percent"":null,""event"":""finished""}]",Fiction; Romance; Contemporary; Literary Fiction; Audiobook; Book Club; Ireland; ...more,English
"Equal Rites (Discworld, #3)","Pratchett, Terry",https://www.goodreads.com/book/show/349286.Equal_Rites,"Jan 15, 1987","Jan 07, 2022","Jan 05, 2022",288,4,NA,read,"[{""date"":""January 5, 2022"",""page"":null,""percent"":null,""event"":""started""},{""date"":""January 5, 2022"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""January 5, 2022"",""page"":223,""percent"":77.43,""event"":null},{""date"":""January 7, 2022"",""page"":null,""percent"":null,""event"":""finished""}]",Fantasy; Fiction; Humor; Comedy; Audiobook; Magic; Witches; ...more,English
Data Feminism,"D’Ignazio, Catherine",https://www.goodreads.com/book/show/51777543-data-feminism,"Mar 17, 2020","Dec 09, 2021","Sep 16, 2020",328,4,NA,read; current-affairs-non-fiction,"[{""date"":""September 16, 2020"",""page"":null,""percent"":null,""event"":""started""},{""date"":""September 16, 2020"",""page"":null,""percent"":null,""event"":""shelved""},{""date"":""December 9, 2021"",""page"":null,""percent"":null,""event"":""finished""},{""date"":""January 27, 2024"",""page"":null,""percent"":null,""event"":""shelved-as""}]",Feminism; Nonfiction; Technology; Science; Social Justice; Audiobook; Gender; ...more,English
